
;;; DAFTAR STOK BARANG; ; ; ; ;
;;; PER TANGGAL: 19-02-22; ; ; ; ;
NO.;KODE;BARCODE; NAMA BARANG;STOK;SATUAN;@HG.POKOK;@HG.JUAL;@HG.JUAL2;@HG.JUAL3;BTS3;@HG.JUAL4;BTS4;@HG.JUAL5;BTS5;JML_POKOK
1;'002791;'711844140127; ABC KECAP INGGRIS 195ML; -1;PCS;8202;9750;9750;0;0;0;0;0;0;-8202
2;'002638;'8992388132324; ABC MIE PDS NAMPOL 80G; -1;PCS;2320;2500;2600;0;0;0;0;0;0;-2320
3;'002900;'711844140417; ABC MINYAK WIJEN 195ML; -2;PCS;33612;36000;36000;0;0;0;0;0;0;-67224
4;'001780;'711844340008; ABC TRASI UDANG 84G; -5;PCS;5690;7000;7000;0;0;0;0;0;0;-28450
5;'006814;'8994796281601; AROMA BOLD 16; -6;PCS;13800;14100;14500;0;0;0;0;0;0;-82800
6;'006819;'8997034170200; BAGAS KRETEK; -20;SLP;110000;120000;6000;0;0;0;0;0;0;-2200000
7;'002827;'8999999100506; BANGO REF 550ML; -3;PCS;20417;21500;21500;0;0;0;0;0;0;-61251
8;'007702;'007702; BATRE ABC BIRU KECIL; -1;PCS;1892;2500;2500;0;0;0;0;0;0;-1892
9;'003181;'8997226230354; BERAS GURIH MERAH 5KG; -5;PCS;56000;60000;60000;0;0;0;0;0;0;-280000
10;'002921;'002921; BUMBU DAGING 10SCT; -1;PCS;7000;8000;8000;0;0;0;0;0;0;-7000
11;'009441;'8886012802052; DAHLIA 1 KG; -1;PCS;8635;10000;10000;0;0;0;0;0;0;-8635
12;'005753;'8998866608701; DAIA PINK 55G 6SCT; -1;PCS;4620;5000;5000;0;0;0;0;0;0;-4620
13;'006829;'8991906101774; DJARUM 76 MADU HITAM; -1;PCS;11400;11700;12000;0;0;0;0;0;0;-11400
14;'009835;'8991906151014; DJARUM SUPER; -1;SLOP;185000;186000;186000;0;0;0;0;0;0;-185000
15;'006835;'8991906101019; DJARUM SUPER 12; -10;PCS;18500;19500;18800;0;0;0;0;0;0;-185000
16;'006837;'8999909028234; DJI SAM SOE KRETEK 12; -1;PCS;16200;16500;17000;0;0;0;0;0;0;-16200
17;'006840;'8999909028999; DJI SAM SOE REFIL 12; -8;PCS;18350;18650;19500;0;0;0;0;0;0;-146800
18;'005800;'4902430745703; DOWNY SUNRISE 12SCT; -1;PCS;4595;5000;5000;0;0;0;0;0;0;-4595
19;'002654;'8998866200561; EKOMIE PAK; -12;PCS;8735;9500;9500;9000;6;0;0;0;0;-104820
20;'005815;'8998866611725; EKONOMI LIQUID 310ML; -1;PCS;3000;4000;4000;3750;24;0;0;0;0;-3000
21;'002330;'8992753102303; FF COKLAT 6SCT; -4;PCS;6850;7500;7500;0;0;0;0;0;0;-27400
22;'002340;'8992753101207; FF KALENG PUTIH 370G; -2;PCS;10295;10800;11000;0;0;0;0;0;0;-20590
